base_currency,datetime,rate
AMD,2007-12,0.00329
AMD,2007-11,0.003154
AMD,2007-10,0.003025
AMD,2007-9,0.0029690000000000003
AMD,2007-8,0.002963
AMD,2007-7,0.002942
AMD,2007-6,0.002879
AMD,2007-5,0.002801
AMD,2007-4,0.002761
AMD,2007-3,0.00282
AMD,2007-2,0.002786
AMD,2007-1,0.002751
AMD,2006-12,0.002684
AMD,2006-11,0.002622
AMD,2006-10,0.00262
AMD,2006-9,0.002478
AMD,2006-8,0.002275
AMD,2006-7,0.002275
AMD,2006-6,0.002275
AMD,2006-5,0.002275
AMD,2006-4,0.002275
AMD,2006-3,0.002275
AMD,2006-2,0.002275
AZN,2017-12,0.58883
AZN,2017-11,0.588233
AZN,2017-10,0.58953
AZN,2017-9,0.588642
AZN,2017-8,0.589572
AZN,2017-7,0.590591
AZN,2017-6,0.587519
AZN,2017-5,0.587791
AZN,2017-4,0.5860890000000001
AZN,2017-3,0.5765140000000001
AZN,2017-2,0.556365
AZN,2017-1,0.550512
AZN,2016-12,0.571483
AZN,2016-11,0.591174
AZN,2016-10,0.6205510000000001
AZN,2016-9,0.6117279999999999
AZN,2016-8,0.620366
AZN,2016-7,0.641066
AZN,2016-6,0.6597970000000001
AZN,2016-5,0.6657649999999999
AZN,2016-4,0.659678
AZN,2016-3,0.624112
AZN,2016-2,0.635997
AZN,2016-1,0.8888959999999999
AZN,2015-12,0.952502
AZN,2015-11,0.952049
AZN,2015-10,0.954111
AZN,2015-9,0.95422
AZN,2015-8,0.953468
AZN,2015-7,0.953278
AZN,2015-6,0.954084
AZN,2015-5,0.954032
AZN,2015-4,0.952262
AZN,2015-3,0.953339
AZN,2015-2,1.20523
AZN,2015-1,1.27486
AZN,2014-12,1.274767
AZN,2014-11,1.274915
AZN,2014-10,1.274924
AZN,2014-9,1.274954
AZN,2014-8,1.275024
AZN,2014-7,1.274976
AZN,2014-6,1.275019
AZN,2014-5,1.274908
AZN,2014-4,1.274964
AZN,2014-3,1.274956
AZN,2014-2,1.2748959999999998
AZN,2014-1,1.274732
AZN,2013-12,1.274846
AZN,2013-11,1.27486
AZN,2013-10,1.274888
AZN,2013-9,1.27478
AZN,2013-8,1.274919
AZN,2013-7,1.27484
AZN,2013-6,1.274514
AZN,2013-5,1.274362
AZN,2013-4,1.274469
AZN,2013-3,1.274153
AZN,2013-2,1.2744
AZN,2013-1,1.273948
AZN,2012-12,1.274158
AZN,2012-11,1.274086
AZN,2012-10,1.273764
AZN,2012-9,1.2734530000000002
AZN,2012-8,1.273176
AZN,2012-7,1.272906
AZN,2012-6,1.272691
AZN,2012-5,1.272396
AZN,2012-4,1.272091
AZN,2012-3,1.271874
AZN,2012-2,1.271824
AZN,2012-1,1.271554
AZN,2011-12,1.271634
AZN,2011-11,1.271283
AZN,2011-10,1.270805
AZN,2011-9,1.271192
AZN,2011-8,1.271508
AZN,2011-7,1.271316
AZN,2011-6,1.2689780000000002
AZN,2011-5,1.26499
AZN,2011-4,1.262697
AZN,2011-3,1.260331
AZN,2011-2,1.257248
AZN,2011-1,1.253537
AZN,2010-12,1.251691
AZN,2010-11,1.24987
AZN,2010-10,1.247431
AZN,2010-9,1.244784
AZN,2010-8,1.2443110000000002
AZN,2010-7,1.24422
AZN,2010-6,1.244168
AZN,2010-5,1.2445
AZN,2010-4,1.244603
AZN,2010-3,1.244817
AZN,2010-2,1.244801
AZN,2010-1,1.24517
AZN,2009-12,1.245374
AZN,2009-11,1.245563
AZN,2009-10,1.245009
AZN,2009-9,1.2445389999999998
AZN,2009-8,1.243662
AZN,2009-7,1.243453
AZN,2009-6,1.24401
AZN,2009-5,1.244476
AZN,2009-4,1.245021
AZN,2009-3,1.244078
AZN,2009-2,1.239939
