country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cote d'Ivoire,2213.478,2058.691,2044.841,2141.578,2293.061,2403.307,2484.571,2498.439,2439.018,2434.339,2368.9,2322.892,2354.94,2409.887,2457.689,2502.554,2550.223,2585.905,2602.643,2480.349,2710.735,2933.633,3166.57,3395.67,3631.25,3882.914,4155.307
Denmark,23072.474,23538.823,25242.842,26452.629,27531.496,28783.663,29629.045,30860.378,32644.676,33542.604,34094.648,34811.317,36626.692,38591.877,41211.476,42538.258,42924.886,40863.157,41957.613,43193.97,43933.199,44882.317,46223.127,47202.341,48338.82,49883.031,51643.43
Djibouti,2349.022,2181.472,2137.743,2048.99,1953.809,1909.632,1879.913,1910.899,1914.707,1939.16,1977.248,2024.254,2079.484,2152.883,2262.748,2373.045,2490.339,2480.358,2543.572,2709.535,2814.266,2920.932,3065.912,3210.701,3368.701,3559.416,3778.392
Dominica,4652.009,4865.25,4970.08,5227.043,5487.244,5702.688,5981.617,6094.202,6378.152,6518.876,6436.269,6986.63,7403.001,7696.773,8308.752,9078.239,9922.468,9887.873,10083.136,10274.786,10352.115,10600.359,11242.41,10948.583,11380.833,11102.28,9506.364
Dominican Republic,4089.059,4413.259,4545.117,4822.313,5120.513,5582.005,5926.162,6278.773,6623.425,6847.069,7168.268,7115.839,7404.131,8259.843,9188.862,10019.623,10424.134,10489.018,11380.749,11849.073,12275.308,12926.56,14018.235,15020.902,16070.815,16944.148,18116.393
Ecuador,5088.28,5200.336,5425.326,5556.761,5658.307,5909.997,6077.35,5792.691,5901.134,6139.202,6350.544,6540.619,7147.642,7672.06,8112.177,8360.529,8904.888,8860.738,9115.861,9868.982,10443.71,10958.138,11394.902,11351.803,11144.338,11482.218,11864.603
Egypt,4598.178,4745.889,4947.424,5170.079,5397.948,5697.874,6061.482,6393.342,6699.446,6940.048,7123.63,7345.665,7697.265,8131.83,8773.772,9458.096,10116.033,10433.999,10850.779,11022.11,11210.449,11448.084,11716.694,12042.094,12550.649,12670.762,13329.958
El Salvador,3354.02,3639.684,3892.243,4174.829,4277.777,4488.284,4666.346,4859.136,5042.082,5209.69,5386.079,5591.587,5822.412,6192.888,6600.049,7012.776,7205.818,6998.7,7157.579,7431.089,7673.14,7902.972,8120.494,8357.283,8623.243,8948.207,9319.463
Equatorial Guinea,647.338,707.692,816.357,1020.128,1535.338,3749.984,4582.99,5698.294,11981.875,19014.135,22388.591,25346.528,32955.907,35721.707,37785.747,43453.777,50732.308,50363.376,45141.048,47719.456,51187.153,48499.283,47700.638,42648.046,37984.903,36017.375,32855.136
Eritrea,700.88,811.224,933.991,1143.842,1173.685,1274.954,1353.055,1356.72,1366.782,1188.267,1273.432,1299.271,1262.924,1286.084,1277.495,1295.356,1161.133,1185.085,1196.218,1296.161,1379.932,1434.843,1470.143,1492.726,1508.666,1581.324,1653.253
Estonia,Nan,7338.238,7542.778,8022.913,8742.412,10076.969,10704.086,10882.922,12113.488,13254.343,14370.605,15839.401,17412.636,19764.626,22600.071,25143.969,24328.966,20946.478,21721.217,23919.022,25494.056,26508.317,27856.003,28685.041,29684.604,31749.522,33842.127
Ethiopia,347.831,390.325,399.28,419.25,470.464,478.278,450.647,473.386,517.768,552.191,554.258,521.462,583.324,660.774,740.158,827.988,924,1007.991,1110.688,1242.961,1354.318,1488.614,1645.089,1806.96,1945.291,2160.796,2360.978
FYR Macedonia,6161.432,5806.697,5793.918,5815.137,5951.004,6115.319,6359.935,6708.337,7144.755,7060.259,7255.595,7547.113,8092.694,8729.152,9436.011,10297.871,11055.824,11077.648,11563.94,12064.072,12215.432,12754.313,13432.274,14087.13,14664.816,14914.253,15661.868
Fiji,4109.243,4282.347,4560.581,4739.662,5018.862,4946.197,5028.45,5509.96,5500.263,5692.157,5922.803,6046.967,6503.631,6580.25,6864.322,6936.396,7108.813,7028.695,7293.08,7608.346,7820.756,8284.174,8863.741,9263.183,9375.325,9777.22,10303.549
Finland,17630.528,17825.284,18836.53,19956.305,20989.465,22615.238,24031.094,25422.468,27404.124,28697.766,29549.327,30672.217,32668.691,34545.622,36917.128,39703.222,40592.799,37336.992,38741.407,40377.73,40340.005,40490.057,40771.587,41114.861,42408.047,44332.604,46342.763
France,21131.884,21405.119,22297.308,23161.487,23835.85,24733.754,25810.013,27006.283,28514.844,29529.831,30105.513,30743.205,32252.237,33571.061,35172.584,36724.648,37313.106,36297.357,37284.251,38657.22,39251.05,39912.039,40801.915,41507.71,42366.794,43760.77,45473.946
Gabon,13174.669,13688.557,14145.312,14788.836,15224.031,15973.914,16301.286,14703.023,14394.511,14672.244,14561.274,14735.837,14937.177,14923.416,14720.457,15601.149,15590.346,14788.744,15325.698,16138.115,16665.156,17196.152,18020.346,18655.258,19017.667,19254.025,19951.8
Gambia,1087.1,1091.705,1040.987,1064.785,1083.227,1068.921,1118.27,1173.195,1228.742,1288.614,1226.475,1294.625,1378.764,1365.18,1378.266,1420.498,1483.745,1541.945,1610.973,1524.756,1589.06,1639.997,1633.05,1669.731,1676.865,1712.991,1790.423
